,Unnamed: 0,name,address,longitude,latitude,Star5,lat,lng
0,0.0,Ayers-Kreh Christmas Tree Farm,"1531 AYERS ORCHARD ROAD, STUART, VA 24171, USA",,,FALSE,,
1,1.0,Brier Ridge Tree Farm,"18028 CARRICO MILLS ROAD, ELKWOOD, VA 22718, USA",,,FALSE,36.56386,-80.21333
2,2.0,Caritas Tree Farm,"BRIER RIDGE LANE, WHITETOP, VA 24292, USA",,,FALSE,38.45733,-77.85542
3,3.0,Carolina Fraser Fir Comapny,"2617 POTATO CREEK ROAD, MOUTH OF WILSON, VA 24363, USA",,,       FALSE,36.61964,-81.55896
4,4.0,Budd's Tree Farm,"9019 BROCK RD, SPOTSYLVANIA COURTHOUSE, SPOTSYLVANIA, VA 22553, USA",,,TRUE,36.58416,-81.27759
5,5.0,Cater Coffman Tree Farm,"186 WILLOW SPOUT ROAD, FORT DEFIANCE, VA, USA",,,FALSE,38.23495,-77.64748
6,6.0,Chilly Hollow Christmas Tree Farm,"1642 CHILLY HOLLOW RD, BERRYVILLE, VA 22611, USA",,,FALSE,38.23798,-78.98518
7,7.0,Claybrooke Farm,"912 ELK CREEK ROAD, MINERAL, VA 23117, US",,,FALSE,39.10947,-77.92761
8,8.0,Clouse's Pine Hill Farm,"2696 GREEN SPRING RD, WINCHESTER, VA 22603, USA",,,FALSE,38.00173,-77.81501
9,9.0,County Christmas Trees,"6385 COURTHOUSE ROAD, SPOTSYLVANIA COURTHOUSE, SPOTSYLVANIA, VA 22551, USA",,,FALSE,39.34913,-78.17824
10,10.0,Cove Mountain Farm,"2611 COVE RD, WYTHEVILLE, VA 24382, USA",,,FALSE,38.14552,-77.71682
11,11.0,Evergreen Acres,"12801 HAZELWOOD DRIVE, NOKESVILLE, VA 20181, USA",,,FALSE,36.99028,-81.07634
12,12.0,Evergreen Christmas Tree Farm,"EVERGREEN, VA 23939, USA",,,FALSE,38.64578,-77.5786
13,13.0,Every Soul Acres,"EVERY SOUL ACRES FORMERLY EVERGREEN TREE FARM, FLOOK LANE, KEEZLETOWN, VA 22832, USA",,,FALSE,38.96817,-77.54964
14,14.0,Firever Pines,"FIREVER PINES, 5349 JERICHO RD, RUTHER GLEN, VA 22546, USA",,,FALSE,38.48027,-78.76859
15,15.0,Foxes Ridge Farm,"808 EMMANUEL CHURCH RD, MT SOLON, VA 22843, USA",,,FALSE,37.96944,-77.55386
16,16.0,Foxfire Christmas Tree Farm,"451 FOXFIRE ROAD, SCOTTSVILLE, VA 24590, USA",,,FALSE,38.38075,-79.10936
17,17.0,Francisco Farms Choose and Cut Farm,"343 BETHEL GREEN ROAD, STAUNTON, VA 24401, USA",,,TRUE,37.74906,-78.60226
18,18.0,Fraser Knoll Farm,"LAUREL SPRINGS, NC 28644, USA",,,FALSE,38.04802,-79.16683
19,19.0,Rifton Farm And Nursery,"240 RIFTON LANE NORTHEAST, PILOT, VA 24138, USA",,,TRUE,36.41146,-81.26426
20,20.0,,,,,,37.03672,-80.29436
21,,,,,,,6.48812,2.6138
